ROAD_CLASS,DISTRICT,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,IMPACTYPE,INVTYPE,VEHTYPE,HOUR,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,PEDESTRIAN,PASSENGER,POLICE_DIVISION,HOOD_ID,month
Major Arterial,Etobicoke York,Intersection,At Intersection,No Control,Clear,Dark,Dry,Cyclist Collisions,Cyclist Passenger,2 Wheels,17,1,1,0,0,0,0,0,0,0,0,0,0,0,23,1,11
Other,Toronto and East York,Exit Ramp,Other,No Control,Clear,Dark,Dry,SMV Other,Motorcycle Passenger,2 Wheels,21,0,0,1,0,0,0,0,0,0,0,0,0,0,11,85,7
Major Arterial,Scarborough,Mid-Block,Other,No Control,Clear,Daylight,Wet,Pedestrian Collisions,Driver,Automobile,17,0,1,0,0,0,0,0,1,0,0,0,1,0,41,124,2
Minor Arterial,Toronto and East York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,14,0,1,0,0,0,0,0,1,0,0,0,1,0,52,77,6
Major Arterial,Toronto and East York,Mid-Block,Other,Other,Clear,Daylight,Dry,Cyclist Collisions,Vehicle Owner,Other,11,1,0,0,1,0,0,0,0,0,0,0,0,0,11,91,10
Minor Arterial,Scarborough,Intersection,At Intersection,No Control,Clear,Dark,Dry,Turning Movement,Driver,Truck,22,0,1,1,0,0,0,1,1,0,0,0,0,1,41,123,6
Major Arterial,Etobicoke York,Intersection,Other,No Control,Clear,Daylight,Dry,Cyclist Collisions,Driver,Automobile,16,1,1,0,0,0,0,0,0,0,0,0,0,1,22,17,9
Major Arterial,Toronto and East York,Mid-Block,Other,No Control,Clear,Dark,Dry,Approaching,Passenger,Other,22,0,1,0,0,0,0,0,0,0,1,0,0,1,53,95,12
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Wet,Turning Movement,Driver,Automobile,11,0,1,0,1,0,0,0,1,0,0,0,0,0,42,116,1
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Angle,Driver,Automobile,0,0,1,0,0,0,0,1,1,1,0,0,0,0,31,22,4
Major Arterial,North York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Rear End,Truck Driver,Truck,14,0,1,0,1,1,0,1,1,0,0,0,0,1,33,43,8
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Angle,Passenger,Other,3,0,1,0,1,0,0,0,1,1,0,0,0,1,52,76,4
Major Arterial,North York,Mid-Block,Non Intersection,No Control,Clear,Dark,Dry,Cyclist Collisions,Cyclist Passenger,2 Wheels,23,1,0,0,0,0,0,0,1,0,0,0,0,0,33,40,5
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Vehicle Owner,Other,20,0,1,0,0,0,0,0,0,0,0,0,1,0,42,131,4
Major Arterial,North York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Approaching,Motorcycle Passenger,2 Wheels,19,0,1,1,0,0,0,0,0,0,0,0,0,0,14,82,6
Minor Arterial,Toronto and East York,Intersection,At Intersection,Stop Sign,Clear,Dark,Dry,Pedestrian Collisions,Pedestrian,Other,21,0,1,0,0,0,0,0,1,0,0,0,1,1,51,75,7
Minor Arterial,Scarborough,Intersection,At Intersection,No Control,Rain,Dark,Wet,Pedestrian Collisions,Pedestrian,Other,7,0,1,0,0,0,0,0,0,0,0,0,1,0,42,132,10
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Rain,Dark,Wet,Pedestrian Collisions,Driver,Automobile,20,0,1,0,0,0,0,0,0,0,0,0,1,0,23,1,3
Major Arterial,Toronto and East York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Turning Movement,Motorcycle Passenger,2 Wheels,17,0,1,1,0,0,0,1,1,0,0,0,0,0,53,98,3
Major Arterial,Toronto and East York,Intersection,Other,No Control,Rain,Daylight,Wet,Pedestrian Collisions,Pedestrian,Other,8,0,0,0,0,1,0,0,0,0,0,0,1,0,52,76,6
Major Arterial,Toronto and East York,Intersection,Non Intersection,Traffic Signal,Clear,Daylight,Dry,Cyclist Collisions,Driver,Van,12,1,1,0,0,0,0,0,0,0,0,0,0,0,54,58,7
Major Arterial,Scarborough,Mid-Block,Non Intersection,No Control,Clear,Dawn,Dry,Rear End,Driver,Bus,6,0,1,0,0,1,0,0,0,0,0,0,0,0,42,131,10
Major Arterial,Toronto and East York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,16,0,1,0,0,0,0,0,0,0,0,0,1,0,52,77,10
Collector,Scarborough,Mid-Block,Non Intersection,No Control,Rain,Dark,Wet,Pedestrian Collisions,Driver,Automobile,20,0,1,0,0,0,0,0,0,0,0,0,1,0,41,119,10
Major Arterial,Toronto and East York,Intersection,At Intersection,No Control,Clear,Dark,Dry,Pedestrian Collisions,Driver,Bus,0,0,0,0,0,1,0,0,1,0,0,0,1,0,14,93,1
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,10,0,1,0,0,0,0,0,1,0,0,0,1,0,31,21,7
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Approaching,Driver,Automobile,10,0,1,0,0,0,0,1,1,0,0,0,0,0,42,117,4
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Turning Movement,Driver,Automobile,18,0,1,0,0,0,0,0,1,0,0,0,0,1,41,120,1
Collector,Scarborough,Intersection,At Intersection,Stop Sign,Other,Dark,Wet,Angle,Driver,Automobile,21,0,1,0,0,0,0,0,1,0,0,0,0,0,42,132,1
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Rain,Dark,Wet,Pedestrian Collisions,Driver,Automobile,22,0,1,0,0,0,0,0,0,0,0,0,1,0,54,43,10
Minor Arterial,Toronto and East York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,12,0,1,0,0,0,0,0,1,0,0,0,1,0,14,93,10
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Other,Dark,Dry,Pedestrian Collisions,Pedestrian,Automobile,2,0,1,0,0,0,0,0,0,0,0,0,1,0,11,90,8
Major Arterial,Scarborough,Intersection,At Intersection,No Control,Clear,Dusk,Dry,Pedestrian Collisions,Pedestrian,Other,18,0,1,0,0,0,0,1,1,0,0,0,1,0,42,128,1
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Angle,Driver,Automobile,0,0,1,0,0,0,0,1,1,1,0,0,0,1,43,137,3
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,11,0,1,0,1,0,0,0,1,0,0,0,1,0,42,128,8
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Dusk,Dry,Turning Movement,Driver,Automobile,18,0,1,0,0,0,0,1,1,0,0,0,0,1,14,93,10
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Vehicle Owner,Other,10,0,1,0,0,0,0,0,0,0,0,0,1,1,32,36,6
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Driver,Automobile,22,0,1,0,0,0,0,0,0,0,0,0,1,0,33,47,1
Minor Arterial,Toronto and East York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Approaching,Passenger,Other,18,0,1,0,0,0,0,0,0,0,0,0,0,1,55,65,5
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Angle,Passenger,Other,3,0,1,0,0,0,0,0,1,1,0,0,0,1,52,76,3
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,14,0,1,0,0,0,0,0,0,0,0,0,1,0,41,126,1
Minor Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Wet,Pedestrian Collisions,Driver,Automobile,16,0,1,0,0,0,0,0,1,0,0,0,1,0,55,70,1
Collector,Etobicoke York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Cyclist Collisions,Cyclist Passenger,2 Wheels,15,1,0,0,0,0,0,0,0,0,0,0,0,0,22,16,8
Major Arterial,Toronto and East York,Intersection,At Intersection,No Control,Rain,Daylight,Wet,Pedestrian Collisions,Truck Driver,Truck,7,0,0,0,1,0,0,0,0,0,0,0,1,0,14,78,3
Local,Toronto and East York,Mid-Block,Other,No Control,Clear,Dark,Dry,Pedestrian Collisions,Pedestrian,Other,0,0,1,0,0,0,0,0,0,0,0,0,1,0,54,58,3
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,10,0,1,0,0,0,0,0,1,0,0,0,1,0,14,81,5
