ROAD_CLASS,DISTRICT,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,IMPACTYPE,INVTYPE,INJURY,VEHTYPE,HOUR,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,PEDESTRIAN,PASSENGER,POLICE_DIVISION,HOOD_ID,month
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,None,Automobile,15,0,1,0,0,0,0,0,0,0,0,0,1,0,11,89,3
Major Arterial,Scarborough,Mid-Block,Non Intersection,No Control,Clear,Dark,Dry,Pedestrian Collisions,Driver,None,Automobile,22,0,1,0,0,0,0,0,1,0,0,0,1,0,41,127,9
Major Arterial,Toronto and East York,Intersection,Other,Traffic Signal,Clear,Dark,Wet,Turning Movement,Vehicle Owner,None,Other,18,0,1,0,0,0,0,0,1,0,0,0,0,0,11,89,11
Major Arterial,Toronto and East York,Mid-Block,Other,No Control,Snow,Dusk,Dry,Pedestrian Collisions,Pedestrian,Major,Other,17,0,0,0,1,0,0,0,0,0,0,0,1,0,52,77,2
Major Arterial,Scarborough,Mid-Block,At Intersection,No Control,Clear,Daylight,Dry,Sideswipe,Driver,Fatal,Automobile,9,0,1,0,0,0,0,0,0,0,0,1,0,0,43,139,12
Minor Arterial,Scarborough,Mid-Block,Other,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Major,Other,7,0,1,0,0,0,0,0,0,0,0,0,1,0,43,137,3
Major Arterial,North York,Intersection,Other,Traffic Signal,Clear,Daylight,Dry,Cyclist Collisions,Driver,None,Automobile,16,1,1,0,0,0,0,0,0,0,0,0,0,0,33,42,11
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Turning Movement,Driver,None,Automobile,10,0,1,0,1,0,0,0,1,0,0,0,0,0,22,10,11
Other,Etobicoke York,Mid-Block,Other,No Control,Rain,Daylight,Wet,SMV Other,Driver,None,Automobile,9,0,1,0,0,0,0,1,1,0,0,0,0,1,22,17,12
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Fatal,Other,11,0,0,0,1,0,0,0,1,0,0,0,1,0,41,119,12
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Rain,Dark,Wet,Pedestrian Collisions,Driver,None,Automobile,18,0,1,0,0,0,0,0,0,0,0,0,1,0,41,119,11
Major Arterial,Scarborough,Mid-Block,Other,No Control,Snow,Dark,Slush,Approaching,Driver,None,Automobile,23,0,1,0,0,0,0,1,1,0,0,0,0,1,42,129,2
Major Arterial,Scarborough,Mid-Block,Other,No Control,Clear,Daylight,Dry,Rear End,Driver,Minor,Automobile,12,0,1,0,0,0,0,1,1,0,0,0,0,1,42,128,6
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Rear End,Passenger,Major,Other,12,0,1,0,0,0,0,0,1,0,0,0,0,1,43,137,12
Major Arterial,North York,Intersection,Other,Traffic Signal,Clear,Dark,Dry,Turning Movement,Driver,None,Automobile,20,0,1,0,0,0,0,0,0,0,1,0,0,0,13,102,9
Major Arterial,Toronto and East York,Mid-Block,Other,No Control,Clear,Dark,Dry,Rear End,Driver,Minor,Automobile,0,0,1,0,0,0,0,0,0,0,0,0,0,1,14,85,8
Major Arterial,North York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Driver,None,Automobile,16,0,1,0,0,0,0,0,0,0,0,0,1,0,42,128,12
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,None,Automobile,15,0,1,0,0,0,0,0,1,0,0,0,1,0,42,116,12
Minor Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Rain,Dark,Wet,Pedestrian Collisions,Driver,None,Automobile,22,0,1,0,0,0,0,0,1,0,0,0,1,0,55,64,12
Minor Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Wet,Cyclist Collisions,Driver,None,Automobile,22,1,1,0,0,0,0,0,0,0,0,0,0,0,11,84,9
Minor Arterial,Toronto and East York,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Major,Other,16,0,1,0,0,0,0,0,0,0,0,0,1,0,51,75,7
Major Arterial,North York,Intersection,Other,No Control,Clear,Dark,Dry,SMV Other,Driver,Minor,Automobile,2,0,1,0,0,0,0,1,1,0,1,0,0,1,53,99,4
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Wet,Pedestrian Collisions,Driver,None,Bus,10,0,0,0,0,1,0,0,0,0,0,0,1,0,14,85,12
Major Arterial,Etobicoke York,Mid-Block,Other,No Control,Clear,Dark,Dry,Pedestrian Collisions,Pedestrian,Fatal,Other,19,0,1,0,0,0,0,0,0,0,0,0,1,0,23,1,9
Major Arterial,Toronto and East York,Intersection,Other,No Control,Clear,Dark,Dry,Pedestrian Collisions,Pedestrian,None,Other,3,0,1,0,0,0,0,0,0,0,0,0,1,0,14,77,6
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,None,Automobile,8,0,1,0,0,0,0,0,1,0,0,0,1,0,31,25,1
Major Arterial,Scarborough,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Turning Movement,Motorcycle Passenger,Major,2 Wheels,17,0,1,1,0,0,0,0,1,0,0,0,0,1,41,121,9
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Pedestrian,Major,Other,18,0,0,0,0,1,0,0,0,0,0,0,1,0,42,129,1
Major Arterial,Scarborough,Mid-Block,Other,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Fatal,Other,15,0,1,0,0,0,0,0,0,0,0,0,1,0,42,129,12
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Major,Other,15,0,1,0,0,0,0,0,1,0,0,0,1,0,42,129,2
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Turning Movement,Driver,Minor,Automobile,10,0,1,0,0,0,0,0,1,1,0,0,0,0,22,14,2
Major Arterial,Etobicoke York,Intersection,At Intersection,Stop Sign,Rain,Daylight,Wet,Angle,Driver,Minor,Automobile,17,0,1,0,1,0,0,0,1,0,0,0,0,1,12,110,6
Major Arterial,Toronto and East York,Other,Other,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Major,Other,9,0,1,0,0,0,0,0,0,0,0,0,1,0,11,93,11
Minor Arterial,North York,Intersection,At Intersection,No Control,Clear,Dusk,Dry,Pedestrian Collisions,Pedestrian,Major,Other,21,0,1,0,0,0,0,0,0,0,0,0,1,0,32,51,6
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Truck Driver,None,Truck,8,0,0,0,1,0,0,0,0,0,0,0,1,0,42,117,8
Major Arterial,Scarborough,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Driver,None,Automobile,15,0,1,0,0,0,0,0,0,0,0,0,1,0,41,124,4
Major Arterial,North York,Intersection,Other,Traffic Signal,Rain,Dark,Wet,Pedestrian Collisions,Vehicle Owner,None,Other,20,0,1,0,0,0,0,0,1,0,0,0,1,0,32,26,10
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Angle,Vehicle Owner,None,Other,9,0,1,0,0,0,0,0,0,0,0,0,0,0,42,117,9
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Angle,Driver,Minor,Automobile,14,0,1,0,0,0,0,0,1,1,0,0,0,0,43,136,8
Major Arterial,North York,Intersection,Other,Traffic Signal,Clear,Daylight,Dry,Cyclist Collisions,Cyclist Passenger,Major,2 Wheels,8,1,1,0,0,0,0,0,0,0,0,0,0,0,53,99,6
Major Arterial,Toronto and East York,Intersection,Other,No Control,Clear,Daylight,Dry,Turning Movement,Vehicle Owner,None,Other,7,0,1,1,0,0,0,0,0,0,0,0,0,0,14,81,10
Minor Arterial,Toronto and East York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Major,Other,7,0,1,0,0,0,0,0,0,0,0,0,1,0,54,62,3
Minor Arterial,Toronto and East York,Mid-Block,Other,No Control,Clear,Dark,Dry,Pedestrian Collisions,Pedestrian,Major,Other,20,0,1,0,0,0,0,0,0,0,0,0,1,0,52,77,11
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,None,Automobile,15,0,1,0,0,0,0,0,0,0,0,0,1,0,42,128,6
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Snow,Dark,Wet,Pedestrian Collisions,Pedestrian,Major,Other,20,0,1,0,0,0,0,0,0,0,0,0,1,1,12,111,4
Major Arterial,Scarborough,Other,Other,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Driver,None,Automobile,23,0,1,0,0,0,0,0,0,0,0,0,1,0,43,138,2
Local,Scarborough,Intersection,At Intersection,Stop Sign,Clear,Dark,Dry,SMV Other,Vehicle Owner,None,Other,1,0,1,0,0,0,0,0,0,0,0,0,0,1,41,125,8
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Cyclist Collisions,Cyclist Passenger,Major,2 Wheels,18,1,1,0,0,0,0,0,0,0,0,0,0,0,42,130,11
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,None,Automobile,16,0,1,0,0,0,0,0,0,0,0,0,1,0,41,122,3
Minor Arterial,Toronto and East York,Intersection,At Intersection,No Control,Clear,Dark,Dry,Cyclist Collisions,Other,Major,2 Wheels,1,1,0,0,0,0,0,0,1,0,0,0,0,0,13,94,9
Minor Arterial,Etobicoke York,Intersection,Other,Traffic Signal,Clear,Daylight,Dry,Turning Movement,Driver,Major,Automobile,16,0,1,0,0,0,0,0,1,1,0,0,0,0,22,14,8
